   ;IDENT;NAME
643;КЗорь;Красных Зорь
644;КИМа;КИМа
645;ККома;Красных Командиров
646;ККомс;Канала Комсомольского
647;ККонн;Красной Конницы
648;ККрюк;Канала Крюкова
649;ККурВ;Красных Курсантов
650;ККурс;Красного Курсанта
651;КЛибк;Карла Либкнехта
652;КМарк;Карла Маркса
653;КОбво;Канала Обводного
654;КОстр;Каменноостровский
655;КПарт;Красных Партизан
656;КПруК;Краснопрудская
657;КПруд;Краснопрудная
658;КПути;Краснопутиловская
659;КСвяз;Красной Связи
660;КСель;Красносельская/ое
661;КСидо;Канала Сидоровского
662;КСлав;Красная Славянка
663;КСмир;Комиссара Смирнова
664;КТекс;Красных Текстильщиков
665;КТомч;Коли Томчака
666;КФло1;Краснофлотская 1-ая
667;КФло2;Краснофлотская 2-ая
668;КФлоК;Краснофлотская/ий/ое
669;КФлот;Красного Флота
670;КШала;К Шалашу
671;КЭлек;Красного электрика
672;КЯрск;Красноярская
673;КаваК;Кавалергардская
674;Кавал;Кавалерийская
675;Кадет;Кадетский/ая
676;Каз27;Казарма 27
677;Казан;Казанская
678;Казна;Казначейская
679;Кайбо;Кайборово
680;КалНа;Калинина
681;Калин;Калинкин
682;Калуж;Калужский
683;Каляе;Каляева
684;Каляз;Калязинская
685;Камен;Каменная/ый
686;Камск;Камская
687;КамыК;Камышинская
688;Камыш;Камышовая
689;Канар;Канареечная
690;Канон;Канонерская/ий
691;Канте;Кантемировская
692;Капит;Капитанская
693;Капсю;Капсюльное
694;КараК;Караваевская
695;Карав;Караванная
696;Карбы;Карбышева
697;Карел;Карельский
698;Карпи;Карпинского
699;Карпо;Карпова
700;Карта;Карташихина
701;Карье;Карьерный
702;Касим;Касимовская
703;Кауги;Каугиевская
704;Кахов;Каховского
705;Кварт;Квартальная/ый
706;Кемер;Кемеровская
707;Кемск;Кемская
708;Кибал;Кибальчича
709;Киевс;Киевская/ое
710;Кикви;Киквидзе
711;Кинги;Кингисеппское
712;Кипре;Кипренского
713;Кирил;Кирилловская
714;Кириш;Киришская
715;КироК;Кировская/ий
716;Киров;Кирова
